suite,variant,length,task,delta_pass_at_1
phase_adapt,phase_adapt_diversity,512,palindrome_generation,0.89
phase_adapt,phase_adapt_diversity,512,propositional_logic,-5.71
phase_adapt,phase_adapt_diversity,512,leg_counting,-42.39
phase_adapt,phase_adapt_diversity,512,simple_geometry,-46.96
phase_adapt,phase_adapt_diversity,512,maze,8.44
phase_adapt,phase_adapt_diversity,512,family_relationships,1.79
phase_adapt,phase_adapt_diversity,512,bf,0.0
phase_adapt,phase_adapt_diversity,512,sokoban,1.79
phase_adapt,phase_adapt_diversity,512,polynomial_equations,-17.59
phase_adapt,phase_adapt_diversity,512,number_sequence,1.32
phase_adapt,phase_adapt_diversity,1024,palindrome_generation,0.52
phase_adapt,phase_adapt_diversity,1024,propositional_logic,-0.36
phase_adapt,phase_adapt_diversity,1024,leg_counting,-26.74
phase_adapt,phase_adapt_diversity,1024,simple_geometry,-20.18
phase_adapt,phase_adapt_diversity,1024,maze,1.56
phase_adapt,phase_adapt_diversity,1024,family_relationships,-8.57
phase_adapt,phase_adapt_diversity,1024,bf,0.0
phase_adapt,phase_adapt_diversity,1024,sokoban,0.18
phase_adapt,phase_adapt_diversity,1024,polynomial_equations,-13.62
phase_adapt,phase_adapt_diversity,1024,number_sequence,-3.68
phase_adapt,phase_adapt_softmask,512,palindrome_generation,-5.09
phase_adapt,phase_adapt_softmask,512,propositional_logic,-6.61
phase_adapt,phase_adapt_softmask,512,leg_counting,-30.22
phase_adapt,phase_adapt_softmask,512,simple_geometry,-53.74
phase_adapt,phase_adapt_softmask,512,maze,6.89
phase_adapt,phase_adapt_softmask,512,family_relationships,-3.04
phase_adapt,phase_adapt_softmask,512,bf,0.0
phase_adapt,phase_adapt_softmask,512,sokoban,0.54
phase_adapt,phase_adapt_softmask,512,polynomial_equations,-23.62
phase_adapt,phase_adapt_softmask,512,number_sequence,-0.79
phase_adapt,phase_adapt_softmask,1024,palindrome_generation,-0.03
phase_adapt,phase_adapt_softmask,1024,propositional_logic,-14.46
phase_adapt,phase_adapt_softmask,1024,leg_counting,-23.91
phase_adapt,phase_adapt_softmask,1024,simple_geometry,-50.43
phase_adapt,phase_adapt_softmask,1024,maze,4.44
phase_adapt,phase_adapt_softmask,1024,family_relationships,-10.54
phase_adapt,phase_adapt_softmask,1024,bf,0.0
phase_adapt,phase_adapt_softmask,1024,sokoban,0.18
phase_adapt,phase_adapt_softmask,1024,polynomial_equations,-15.86
phase_adapt,phase_adapt_softmask,1024,number_sequence,5.0
phase_adapt,phase_split_masking,512,palindrome_generation,-2.3
phase_adapt,phase_split_masking,512,propositional_logic,-1.96
phase_adapt,phase_split_masking,512,leg_counting,-21.74
phase_adapt,phase_split_masking,512,simple_geometry,-8.24
phase_adapt,phase_split_masking,512,maze,4.22
phase_adapt,phase_split_masking,512,family_relationships,-6.07
phase_adapt,phase_split_masking,512,bf,0.0
phase_adapt,phase_split_masking,512,sokoban,0.36
phase_adapt,phase_split_masking,512,polynomial_equations,-16.03
phase_adapt,phase_split_masking,512,number_sequence,-8.95
phase_adapt,phase_split_masking,1024,palindrome_generation,-5.31
phase_adapt,phase_split_masking,1024,propositional_logic,-2.5
phase_adapt,phase_split_masking,1024,leg_counting,-28.7
phase_adapt,phase_split_masking,1024,simple_geometry,-33.79
phase_adapt,phase_split_masking,1024,maze,5.56
phase_adapt,phase_split_masking,1024,family_relationships,-1.96
phase_adapt,phase_split_masking,1024,bf,0.0
phase_adapt,phase_split_masking,1024,sokoban,0.18
phase_adapt,phase_split_masking,1024,polynomial_equations,-22.93
phase_adapt,phase_split_masking,1024,number_sequence,-3.95
continuous,cont_fullzero_prob_t09,512,palindrome_generation,1.45
continuous,cont_fullzero_prob_t09,512,propositional_logic,-8.04
continuous,cont_fullzero_prob_t09,512,leg_counting,-2.83
continuous,cont_fullzero_prob_t09,512,simple_geometry,-33.51
continuous,cont_fullzero_prob_t09,512,maze,1.78
continuous,cont_fullzero_prob_t09,512,family_relationships,-12.5
continuous,cont_fullzero_prob_t09,512,bf,0.0
continuous,cont_fullzero_prob_t09,512,sokoban,1.25
continuous,cont_fullzero_prob_t09,512,polynomial_equations,-5.52
continuous,cont_fullzero_prob_t09,512,number_sequence,-0.0
continuous,cont_softmask_light,512,palindrome_generation,-1.51
continuous,cont_softmask_light,512,propositional_logic,-12.68
continuous,cont_softmask_light,512,leg_counting,-9.35
continuous,cont_softmask_light,512,simple_geometry,-64.01
continuous,cont_softmask_light,512,maze,0.89
continuous,cont_softmask_light,512,family_relationships,-11.43
continuous,cont_softmask_light,512,bf,0.0
continuous,cont_softmask_light,512,sokoban,0.54
continuous,cont_softmask_light,512,polynomial_equations,-5.86
continuous,cont_softmask_light,512,number_sequence,1.05
continuous,cont_softmask_prob_p,512,palindrome_generation,-0.77
continuous,cont_softmask_prob_p,512,propositional_logic,6.25
continuous,cont_softmask_prob_p,512,leg_counting,-8.48
continuous,cont_softmask_prob_p,512,simple_geometry,-21.51
continuous,cont_softmask_prob_p,512,maze,1.33
continuous,cont_softmask_prob_p,512,family_relationships,-5.0
continuous,cont_softmask_prob_p,512,bf,0.0
continuous,cont_softmask_prob_p,512,sokoban,-0.18
continuous,cont_softmask_prob_p,512,polynomial_equations,-5.86
continuous,cont_softmask_prob_p,512,number_sequence,-5.79
continuous,cont_softmask_roundrobin,512,palindrome_generation,-0.77
continuous,cont_softmask_roundrobin,512,propositional_logic,-5.54
continuous,cont_softmask_roundrobin,512,leg_counting,-13.26
continuous,cont_softmask_roundrobin,512,simple_geometry,-33.01
continuous,cont_softmask_roundrobin,512,maze,0.0
continuous,cont_softmask_roundrobin,512,family_relationships,-7.14
continuous,cont_softmask_roundrobin,512,bf,0.0
continuous,cont_softmask_roundrobin,512,sokoban,0.54
continuous,cont_softmask_roundrobin,512,polynomial_equations,-6.9
continuous,cont_softmask_roundrobin,512,number_sequence,-0.53
science2_baseline,fullzero_every10_nothresh,512,palindrome_generation,1.61
science2_baseline,fullzero_every10_nothresh,512,propositional_logic,-3.39
science2_baseline,fullzero_every10_nothresh,512,leg_counting,-8.04
science2_baseline,fullzero_every10_nothresh,512,simple_geometry,-49.18
science2_baseline,fullzero_every10_nothresh,512,maze,2.67
science2_baseline,fullzero_every10_nothresh,512,family_relationships,-0.18
science2_baseline,fullzero_every10_nothresh,512,bf,0.0
science2_baseline,fullzero_every10_nothresh,512,sokoban,0.0
science2_baseline,fullzero_every10_nothresh,512,polynomial_equations,-3.1
science2_baseline,fullzero_every10_nothresh,512,number_sequence,-6.84
science2_baseline,softmask_every10_wt05,512,palindrome_generation,1.61
science2_baseline,softmask_every10_wt05,512,propositional_logic,-3.04
science2_baseline,softmask_every10_wt05,512,leg_counting,-13.7
science2_baseline,softmask_every10_wt05,512,simple_geometry,-18.99
science2_baseline,softmask_every10_wt05,512,maze,2.22
science2_baseline,softmask_every10_wt05,512,family_relationships,0.89
science2_baseline,softmask_every10_wt05,512,bf,0.0
science2_baseline,softmask_every10_wt05,512,sokoban,0.54
science2_baseline,softmask_every10_wt05,512,polynomial_equations,-5.52
science2_baseline,softmask_every10_wt05,512,number_sequence,0.79
